F3F3F3F3F3F3F3F3F3F3F3F3	RSSI		22222222222222222222	Temperature		666666666666666666666	Sensor1	Sensor2		F8F8F8F8F8F8F8F8F8F8F8F8	RSSI		F1F1F1F1F1F1F1F1F1F1F1F1	RSSI		444444444444444444444	Temperature	Sensor2		A2A2A2A2A2A2A2A2A2A2A2A2	RSSI		33333333333333333333	Sensor1		555555555555555555555	Sensor1		110110110110110110110	Temperature		
Reader Antennas:	Ant:1	Ant:2	Ant:3	Ant:4	
18:46:43,557	-69	20.786	193.720703125	1023	0	0	-1000	-1000	0	-1000	-1000	-1000	
18:46:49,417	0	20.966	240.732421875	1023	-60	-57	20.606	0	0	-1000	-1000	-1000	
18:46:53,033	0	-1000	240.732421875	864	0	0	-1000	-1000	-44	-1000	-1000	-1000	
18:46:59,865	0	-1000	-1000	-1000	0	0	-1000	-1000	0	1467.9939516129	1417.59072580645	21.684	
18:47:05,522	-69	21.145	230.1953125	1023	0	0	-1000	-1000	0	-1000	-1000	-1000	
18:47:11,353	0	21.145	255.322265625	1023	-59	-57	20.606	49	-70	-1000	-1000	-1000	
18:47:15,065	0	-1000	213.984375	1023	0	0	-1000	-1000	-44	-1000	-1000	-1000	
18:47:21,805	0	-1000	-1000	-1000	0	0	-1000	-1000	0	1474.29435483871	1411.29032258064	21.325	
18:47:27,445	-69	20.786	224.521484375	899	0	0	-1000	-1000	0	-1000	-1000	-1000	
18:47:33,311	0	21.145	280.44921875	1023	-59	-57	20.786	56	0	-1000	-1000	-1000	
18:47:36,983	0	-1000	238.30078125	1023	0	0	-1000	-1000	-43	-1000	-1000	-1000	
18:47:44,366	0	-1000	239.921875	769	0	0	-1000	-1000	0	1442.79233870968	1423.89112903226	21.325	
18:47:48,824	-70	20.966	243.974609375	1023	0	0	-1000	-1000	0	-1000	-1000	-1000	
18:47:54,621	0	20.786	209.12109375	1023	-61	-66	20.786	38	0	-1000	-1000	-1000	
18:47:58,289	0	-1000	196.15234375	1023	0	0	-1000	-1000	-44	-1000	-1000	-1000	
